Epoch Number, Total Squared Error, 
0, 1.061119, 
1, 1.055559, 
2, 1.050748, 
3, 1.046596, 
4, 1.043024, 
5, 1.039958, 
6, 1.037330, 
7, 1.035083, 
8, 1.033163, 
9, 1.031526, 
10, 1.030131, 
11, 1.028944, 
12, 1.027934, 
13, 1.027077, 
14, 1.026348, 
15, 1.025729, 
16, 1.025205, 
17, 1.024760, 
18, 1.024383, 
19, 1.024063, 
20, 1.023793, 
21, 1.023564, 
22, 1.023370, 
23, 1.023205, 
24, 1.023067, 
25, 1.022949, 
26, 1.022850, 
27, 1.022766, 
28, 1.022695, 
29, 1.022635, 
30, 1.022584, 
31, 1.022541, 
32, 1.022505, 
33, 1.022475, 
34, 1.022449, 
35, 1.022427, 
36, 1.022409, 
37, 1.022393, 
38, 1.022380, 
39, 1.022369, 
40, 1.022360, 
41, 1.022352, 
42, 1.022345, 
43, 1.022340, 
44, 1.022335, 
45, 1.022331, 
46, 1.022328, 
47, 1.022325, 
48, 1.022322, 
49, 1.022320, 
50, 1.022319, 
51, 1.022317, 
52, 1.022316, 
53, 1.022315, 
54, 1.022314, 
55, 1.022313, 
56, 1.022312, 
57, 1.022312, 
58, 1.022311, 
59, 1.022311, 
60, 1.022310, 
61, 1.022310, 
62, 1.022310, 
63, 1.022310, 
64, 1.022309, 
65, 1.022309, 
66, 1.022309, 
67, 1.022309, 
68, 1.022309, 
69, 1.022309, 
70, 1.022308, 
71, 1.022308, 
72, 1.022308, 
73, 1.022308, 
74, 1.022308, 
75, 1.022308, 
76, 1.022308, 
77, 1.022308, 
78, 1.022308, 
79, 1.022308, 
80, 1.022308, 
81, 1.022308, 
82, 1.022308, 
83, 1.022308, 
84, 1.022308, 
85, 1.022308, 
86, 1.022308, 
87, 1.022308, 
88, 1.022308, 
89, 1.022308, 
90, 1.022308, 
91, 1.022308, 
92, 1.022308, 
93, 1.022308, 
94, 1.022309, 
95, 1.022309, 
96, 1.022309, 
97, 1.022309, 
98, 1.022309, 
99, 1.022309, 
100, 1.022309, 
101, 1.022310, 
102, 1.022310, 
103, 1.022310, 
104, 1.022310, 
105, 1.022310, 
106, 1.022311, 
107, 1.022311, 
108, 1.022311, 
109, 1.022311, 
110, 1.022312, 
111, 1.022312, 
112, 1.022312, 
113, 1.022312, 
114, 1.022313, 
115, 1.022313, 
116, 1.022313, 
117, 1.022314, 
118, 1.022314, 
119, 1.022314, 
120, 1.022315, 
121, 1.022315, 
122, 1.022315, 
123, 1.022316, 
124, 1.022316, 
125, 1.022316, 
126, 1.022317, 
127, 1.022317, 
128, 1.022318, 
129, 1.022318, 
130, 1.022318, 
131, 1.022319, 
132, 1.022319, 
133, 1.022320, 
134, 1.022320, 
135, 1.022321, 
136, 1.022321, 
137, 1.022322, 
138, 1.022322, 
139, 1.022323, 
140, 1.022323, 
141, 1.022324, 
142, 1.022324, 
143, 1.022325, 
144, 1.022325, 
145, 1.022326, 
146, 1.022326, 
147, 1.022327, 
148, 1.022328, 
149, 1.022328, 
150, 1.022329, 
151, 1.022329, 
152, 1.022330, 
153, 1.022331, 
154, 1.022331, 
155, 1.022332, 
156, 1.022332, 
157, 1.022333, 
158, 1.022334, 
159, 1.022334, 
160, 1.022335, 
161, 1.022336, 
162, 1.022336, 
163, 1.022337, 
164, 1.022338, 
165, 1.022339, 
166, 1.022339, 
167, 1.022340, 
168, 1.022341, 
169, 1.022341, 
170, 1.022342, 
171, 1.022343, 
172, 1.022344, 
173, 1.022344, 
174, 1.022345, 
175, 1.022346, 
176, 1.022347, 
177, 1.022348, 
178, 1.022348, 
179, 1.022349, 
180, 1.022350, 
181, 1.022351, 
182, 1.022352, 
183, 1.022353, 
184, 1.022353, 
185, 1.022354, 
186, 1.022355, 
187, 1.022356, 
188, 1.022357, 
189, 1.022358, 
190, 1.022359, 
191, 1.022359, 
192, 1.022360, 
193, 1.022361, 
194, 1.022362, 
195, 1.022363, 
196, 1.022364, 
197, 1.022365, 
198, 1.022366, 
199, 1.022367, 
200, 1.022368, 
201, 1.022369, 
202, 1.022370, 
203, 1.022371, 
204, 1.022372, 
205, 1.022373, 
206, 1.022374, 
207, 1.022375, 
208, 1.022376, 
209, 1.022377, 
210, 1.022378, 
211, 1.022379, 
212, 1.022380, 
213, 1.022381, 
214, 1.022382, 
215, 1.022383, 
216, 1.022384, 
217, 1.022385, 
218, 1.022386, 
219, 1.022387, 
220, 1.022388, 
221, 1.022389, 
222, 1.022390, 
223, 1.022391, 
224, 1.022392, 
225, 1.022394, 
226, 1.022395, 
227, 1.022396, 
228, 1.022397, 
229, 1.022398, 
230, 1.022399, 
231, 1.022400, 
232, 1.022401, 
233, 1.022403, 
234, 1.022404, 
235, 1.022405, 
236, 1.022406, 
237, 1.022407, 
238, 1.022408, 
239, 1.022410, 
240, 1.022411, 
241, 1.022412, 
242, 1.022413, 
243, 1.022414, 
244, 1.022416, 
245, 1.022417, 
246, 1.022418, 
247, 1.022419, 
248, 1.022421, 
249, 1.022422, 
250, 1.022423, 
251, 1.022424, 
252, 1.022426, 
253, 1.022427, 
254, 1.022428, 
255, 1.022429, 
256, 1.022431, 
257, 1.022432, 
258, 1.022433, 
259, 1.022435, 
260, 1.022436, 
261, 1.022437, 
262, 1.022438, 
263, 1.022440, 
264, 1.022441, 
265, 1.022442, 
266, 1.022444, 
267, 1.022445, 
268, 1.022446, 
269, 1.022448, 
270, 1.022449, 
271, 1.022450, 
272, 1.022452, 
273, 1.022453, 
274, 1.022455, 
275, 1.022456, 
276, 1.022457, 
277, 1.022459, 
278, 1.022460, 
279, 1.022461, 
280, 1.022463, 
281, 1.022464, 
282, 1.022466, 
283, 1.022467, 
284, 1.022469, 
285, 1.022470, 
286, 1.022471, 
287, 1.022473, 
288, 1.022474, 
289, 1.022476, 
290, 1.022477, 
291, 1.022479, 
292, 1.022480, 
293, 1.022481, 
294, 1.022483, 
295, 1.022484, 
296, 1.022486, 
297, 1.022487, 
298, 1.022489, 
299, 1.022490, 
300, 1.022492, 
301, 1.022493, 
302, 1.022495, 
303, 1.022496, 
304, 1.022498, 
305, 1.022499, 
306, 1.022501, 
307, 1.022502, 
308, 1.022504, 
309, 1.022506, 
310, 1.022507, 
311, 1.022509, 
312, 1.022510, 
313, 1.022512, 
314, 1.022513, 
315, 1.022515, 
316, 1.022516, 
317, 1.022518, 
318, 1.022520, 
319, 1.022521, 
320, 1.022523, 
321, 1.022524, 
322, 1.022526, 
323, 1.022527, 
324, 1.022529, 
325, 1.022531, 
326, 1.022532, 
327, 1.022534, 
328, 1.022535, 
329, 1.022537, 
330, 1.022539, 
331, 1.022540, 
332, 1.022542, 
333, 1.022544, 
334, 1.022545, 
335, 1.022547, 
336, 1.022549, 
337, 1.022550, 
338, 1.022552, 
339, 1.022554, 
340, 1.022555, 
341, 1.022557, 
342, 1.022559, 
343, 1.022560, 
