Epoch Number, Total Squared Error, 
0, 1.050223, 
1, 1.046056, 
2, 1.042645, 
3, 1.039861, 
4, 1.037595, 
5, 1.035754, 
6, 1.034261, 
7, 1.033052, 
8, 1.032073, 
9, 1.031283, 
10, 1.030644, 
11, 1.030129, 
12, 1.029714, 
13, 1.029379, 
14, 1.029110, 
15, 1.028893, 
16, 1.028719, 
17, 1.028579, 
18, 1.028466, 
19, 1.028376, 
20, 1.028304, 
21, 1.028247, 
22, 1.028201, 
23, 1.028164, 
24, 1.028135, 
25, 1.028113, 
26, 1.028095, 
27, 1.028081, 
28, 1.028070, 
29, 1.028062, 
30, 1.028056, 
31, 1.028052, 
32, 1.028049, 
33, 1.028047, 
34, 1.028046, 
35, 1.028045, 
36, 1.028046, 
37, 1.028046, 
38, 1.028047, 
39, 1.028049, 
40, 1.028050, 
41, 1.028052, 
42, 1.028054, 
43, 1.028056, 
44, 1.028058, 
45, 1.028060, 
46, 1.028062, 
47, 1.028064, 
48, 1.028067, 
49, 1.028069, 
50, 1.028071, 
51, 1.028074, 
52, 1.028076, 
53, 1.028078, 
54, 1.028081, 
55, 1.028083, 
56, 1.028085, 
57, 1.028088, 
58, 1.028090, 
59, 1.028093, 
60, 1.028095, 
61, 1.028097, 
62, 1.028100, 
63, 1.028102, 
64, 1.028105, 
65, 1.028107, 
66, 1.028109, 
67, 1.028112, 
68, 1.028114, 
69, 1.028117, 
70, 1.028119, 
71, 1.028121, 
72, 1.028124, 
73, 1.028126, 
74, 1.028128, 
75, 1.028131, 
76, 1.028133, 
77, 1.028135, 
78, 1.028138, 
79, 1.028140, 
80, 1.028142, 
81, 1.028145, 
82, 1.028147, 
83, 1.028149, 
84, 1.028152, 
85, 1.028154, 
86, 1.028156, 
87, 1.028159, 
88, 1.028161, 
89, 1.028163, 
90, 1.028165, 
91, 1.028168, 
92, 1.028170, 
93, 1.028172, 
94, 1.028175, 
95, 1.028177, 
96, 1.028179, 
97, 1.028181, 
98, 1.028184, 
99, 1.028186, 
100, 1.028188, 
101, 1.028190, 
102, 1.028193, 
103, 1.028195, 
104, 1.028197, 
105, 1.028199, 
106, 1.028202, 
107, 1.028204, 
108, 1.028206, 
109, 1.028208, 
110, 1.028210, 
111, 1.028213, 
112, 1.028215, 
113, 1.028217, 
114, 1.028219, 
115, 1.028221, 
116, 1.028223, 
117, 1.028226, 
118, 1.028228, 
119, 1.028230, 
120, 1.028232, 
121, 1.028234, 
122, 1.028236, 
123, 1.028239, 
124, 1.028241, 
125, 1.028243, 
126, 1.028245, 
127, 1.028247, 
128, 1.028249, 
129, 1.028251, 
130, 1.028253, 
131, 1.028255, 
132, 1.028257, 
133, 1.028260, 
134, 1.028262, 
135, 1.028264, 
136, 1.028266, 
137, 1.028268, 
138, 1.028270, 
139, 1.028272, 
140, 1.028274, 
141, 1.028276, 
142, 1.028278, 
143, 1.028280, 
144, 1.028282, 
145, 1.028284, 
146, 1.028286, 
147, 1.028288, 
148, 1.028290, 
149, 1.028292, 
150, 1.028294, 
151, 1.028296, 
152, 1.028298, 
153, 1.028300, 
154, 1.028302, 
155, 1.028304, 
156, 1.028306, 
157, 1.028308, 
158, 1.028309, 
159, 1.028311, 
160, 1.028313, 
161, 1.028315, 
162, 1.028317, 
163, 1.028319, 
164, 1.028321, 
165, 1.028323, 
166, 1.028325, 
167, 1.028326, 
168, 1.028328, 
169, 1.028330, 
170, 1.028332, 
171, 1.028334, 
172, 1.028336, 
173, 1.028337, 
174, 1.028339, 
175, 1.028341, 
176, 1.028343, 
177, 1.028345, 
178, 1.028346, 
179, 1.028348, 
180, 1.028350, 
181, 1.028352, 
182, 1.028353, 
183, 1.028355, 
184, 1.028357, 
185, 1.028358, 
186, 1.028360, 
187, 1.028362, 
188, 1.028364, 
189, 1.028365, 
190, 1.028367, 
191, 1.028369, 
192, 1.028370, 
193, 1.028372, 
194, 1.028373, 
195, 1.028375, 
196, 1.028377, 
197, 1.028378, 
198, 1.028380, 
199, 1.028382, 
200, 1.028383, 
201, 1.028385, 
202, 1.028386, 
203, 1.028388, 
204, 1.028389, 
205, 1.028391, 
206, 1.028392, 
207, 1.028394, 
208, 1.028395, 
209, 1.028397, 
210, 1.028398, 
211, 1.028400, 
212, 1.028401, 
213, 1.028403, 
214, 1.028404, 
215, 1.028406, 
216, 1.028407, 
217, 1.028409, 
218, 1.028410, 
219, 1.028411, 
220, 1.028413, 
221, 1.028414, 
222, 1.028416, 
223, 1.028417, 
224, 1.028418, 
225, 1.028420, 
226, 1.028421, 
227, 1.028422, 
228, 1.028424, 
229, 1.028425, 
230, 1.028426, 
231, 1.028427, 
232, 1.028429, 
233, 1.028430, 
234, 1.028431, 
235, 1.028432, 
236, 1.028434, 
237, 1.028435, 
238, 1.028436, 
239, 1.028437, 
240, 1.028438, 
241, 1.028440, 
242, 1.028441, 
243, 1.028442, 
244, 1.028443, 
245, 1.028444, 
246, 1.028445, 
247, 1.028446, 
248, 1.028447, 
249, 1.028448, 
250, 1.028449, 
251, 1.028450, 
252, 1.028451, 
253, 1.028452, 
254, 1.028453, 
255, 1.028454, 
256, 1.028455, 
257, 1.028456, 
258, 1.028457, 
259, 1.028458, 
260, 1.028459, 
261, 1.028460, 
262, 1.028461, 
263, 1.028462, 
264, 1.028463, 
265, 1.028464, 
266, 1.028465, 
267, 1.028465, 
268, 1.028466, 
269, 1.028467, 
270, 1.028468, 
271, 1.028469, 
272, 1.028469, 
273, 1.028470, 
274, 1.028471, 
275, 1.028471, 
276, 1.028472, 
277, 1.028473, 
278, 1.028474, 
279, 1.028474, 
280, 1.028475, 
281, 1.028476, 
282, 1.028476, 
283, 1.028477, 
284, 1.028477, 
285, 1.028478, 
286, 1.028478, 
287, 1.028479, 
288, 1.028480, 
289, 1.028480, 
290, 1.028481, 
291, 1.028481, 
292, 1.028481, 
293, 1.028482, 
