Epoch Number, Total Squared Error, 
0, 4.420709, 
1, 4.375361, 
2, 4.343652, 
3, 4.321544, 
4, 4.306060, 
5, 4.295093, 
6, 4.287192, 
7, 4.281371, 
8, 4.276968, 
9, 4.273540, 
10, 4.270793, 
11, 4.268529, 
12, 4.266618, 
13, 4.264971, 
14, 4.263527, 
15, 4.262245, 
16, 4.261097, 
17, 4.260062, 
18, 4.259125, 
19, 4.258276, 
20, 4.257505, 
21, 4.256806, 
22, 4.256174, 
23, 4.255604, 
24, 4.255093, 
25, 4.254635, 
26, 4.254230, 
27, 4.253873, 
28, 4.253562, 
29, 4.253295, 
30, 4.253070, 
31, 4.252885, 
32, 4.252738, 
33, 4.252626, 
34, 4.252550, 
35, 4.252506, 
36, 4.252493, 
37, 4.252511, 
38, 4.252558, 
39, 4.252632, 
40, 4.252733, 
41, 4.252858, 
42, 4.253009, 
43, 4.253182, 
44, 4.253379, 
45, 4.253596, 
46, 4.253835, 
47, 4.254093, 
48, 4.254370, 
49, 4.254666, 
50, 4.254980, 
51, 4.255311, 
52, 4.255658, 
53, 4.256021, 
54, 4.256399, 
55, 4.256792, 
56, 4.257200, 
57, 4.257621, 
58, 4.258055, 
59, 4.258502, 
60, 4.258962, 
61, 4.259433, 
62, 4.259916, 
63, 4.260410, 
64, 4.260914, 
65, 4.261429, 
66, 4.261954, 
67, 4.262489, 
68, 4.263032, 
69, 4.263585, 
70, 4.264146, 
71, 4.264715, 
72, 4.265292, 
73, 4.265877, 
74, 4.266469, 
75, 4.267068, 
76, 4.267673, 
77, 4.268285, 
78, 4.268902, 
79, 4.269525, 
80, 4.270152, 
81, 4.270785, 
82, 4.271422, 
83, 4.272062, 
84, 4.272707, 
85, 4.273354, 
86, 4.274004, 
87, 4.274655, 
88, 4.275309, 
89, 4.275963, 
90, 4.276617, 
91, 4.277272, 
92, 4.277925, 
93, 4.278576, 
94, 4.279225, 
95, 4.279871, 
96, 4.280512, 
97, 4.281148, 
98, 4.281777, 
99, 4.282398, 
100, 4.283011, 
101, 4.283614, 
102, 4.284204, 
103, 4.284781, 
104, 4.285343, 
105, 4.285888, 
106, 4.286413, 
107, 4.286917, 
108, 4.287396, 
109, 4.287848, 
110, 4.288270, 
111, 4.288659, 
112, 4.289010, 
113, 4.289320, 
114, 4.289585, 
115, 4.289799, 
116, 4.289957, 
117, 4.290054, 
118, 4.290083, 
119, 4.290036, 
120, 4.289907, 
121, 4.289687, 
122, 4.289366, 
123, 4.288934, 
124, 4.288380, 
125, 4.287692, 
126, 4.286854, 
127, 4.285854, 
128, 4.284674, 
129, 4.283295, 
130, 4.281699, 
131, 4.279862, 
132, 4.277762, 
133, 4.275371, 
134, 4.272662, 
135, 4.269602, 
136, 4.266156, 
137, 4.262289, 
