Epoch Number, Total Squared Error, 
0, 4.431209, 
1, 4.358968, 
2, 4.334158, 
3, 4.315524, 
4, 4.268388, 
5, 4.235709, 
6, 4.231566, 
7, 4.235670, 
8, 4.240194, 
9, 4.244840, 
10, 4.246318, 
11, 4.244680, 
12, 4.243713, 
13, 4.245075, 
14, 4.247665, 
15, 4.250259, 
16, 4.252214, 
17, 4.253267, 
18, 4.253732, 
19, 4.254271, 
20, 4.255307, 
21, 4.256818, 
22, 4.258566, 
23, 4.260322, 
24, 4.261983, 
25, 4.263581, 
26, 4.265209, 
27, 4.266901, 
28, 4.268590, 
29, 4.270131, 
30, 4.271343, 
31, 4.272027, 
32, 4.271924, 
33, 4.270636, 
34, 4.267489, 
35, 4.261358, 
36, 4.250384, 
37, 4.231561, 
38, 4.200139, 
39, 4.149023, 
40, 4.068794, 
41, 3.949784, 
42, 3.787491, 
43, 3.588417, 
44, 3.366431, 
45, 3.125677, 
46, 2.847892, 
47, 2.507420, 
48, 2.095961, 
49, 1.597042, 
50, 1.083653, 
51, 0.689394, 
52, 0.432308, 
53, 0.282168, 
54, 0.196046, 
55, 0.143431, 
56, 0.109000, 
57, 0.085809, 
