Epoch Number, Total Squared Error,Epoch Number, Total Squared Error,Epoch Number, Total Squared Error,Epoch Number, Total Squared Error, ,,,
,,291,0.100893,291,0.165781, ,,,0.0504465,0.0828905,
,,292,0.099593,292,0.163342, ,,,0.0497965,0.081671,
,,,,293,0.160966, ,,,,0.080483,
,,,,294,0.158653, ,,,,0.0793265,
,,,,295,0.1564, ,,,,0.0782,
,,,,296,0.154204, ,,,,0.077102,
,,,,297,0.152064, ,,,,0.076032,
,,,,298,0.149977, ,,,,0.0749885,
,,,,299,0.147942, ,,,,0.073971,
,,,,300,0.145957, ,,,,0.0729785,
,,,,301,0.14402, ,,,,0.07201,
,,,,302,0.142129, ,,,,0.0710645,
,,,,303,0.140284, ,,,,0.070142,
,,,,304,0.138481, ,,,,0.0692405,
,,,,305,0.136721, ,,,,0.0683605,
,,,,306,0.135002, ,,,,0.067501,
,,,,307,0.133321, ,,,,0.0666605,
,,,,308,0.131679, ,,,,0.0658395,
,,,,309,0.130073, ,,,,0.0650365,
,,,,310,0.128503, ,,,,0.0642515,
,,,,311,0.126968, ,,,,0.063484,
,,,,312,0.125466, ,,,,0.062733,
,,,,313,0.123996, ,,,,0.061998,
,,,,314,0.122557, ,,,,0.0612785,
,,,,315,0.12115, ,,,,0.060575,
,,,,316,0.119771, ,,,,0.0598855,
,,,,317,0.118421, ,,,,0.0592105,
,,,,318,0.117099, ,,,,0.0585495,
,,,,319,0.115804, ,,,,0.057902,
,,,,320,0.114536, ,,,,0.057268,
,,,,321,0.113292, ,,,,0.056646,
,,,,322,0.112074, ,,,,0.056037,
,,,,323,0.110879, ,,,,0.0554395,
,,,,324,0.109708, ,,,,0.054854,
,,,,325,0.108559, ,,,,0.0542795,
,,,,326,0.107432, ,,,,0.053716,
,,,,327,0.106327, ,,,,0.0531635,
,,,,328,0.105243, ,,,,0.0526215,
,,,,329,0.104179, ,,,,0.0520895,
,,,,330,0.103135, ,,,,0.0515675,
,,,,331,0.10211, ,,,,0.051055,
,,,,332,0.101104, ,,,,0.050552,
,,,,333,0.100116, ,,,,0.050058,
,,,,334,0.099146, ,,,,0.049573,
