Epoch Number, Total Squared Error,Epoch Number, Total Squared Error,Epoch Number, Total Squared Error,Epoch Number, Total Squared Error, ,,,
62,4.182886,62,4.259916,62,4.255611,62,4.283154,2.091443,2.129958,2.1278055,2.141577
63,4.175253,63,4.26041,63,4.255916,63,4.283253,2.0876265,2.130205,2.127958,2.1416265
64,4.166768,64,4.260914,64,4.25623,64,4.283328,2.083384,2.130457,2.128115,2.141664
65,4.157332,65,4.261429,65,4.256552,65,4.283377,2.078666,2.1307145,2.128276,2.1416885
66,4.146837,66,4.261954,66,4.256881,66,4.283396,2.0734185,2.130977,2.1284405,2.141698
67,4.135164,67,4.262489,67,4.257218,67,4.283381,2.067582,2.1312445,2.128609,2.1416905
68,4.122181,68,4.263032,68,4.257562,68,4.283327,2.0610905,2.131516,2.128781,2.1416635
69,4.107741,69,4.263585,69,4.257912,69,4.283231,2.0538705,2.1317925,2.128956,2.1416155
70,4.091685,70,4.264146,70,4.258269,70,4.283087,2.0458425,2.132073,2.1291345,2.1415435
71,4.073834,71,4.264715,71,4.258633,71,4.282889,2.036917,2.1323575,2.1293165,2.1414445
72,4.053999,72,4.265292,72,4.259002,72,4.282632,2.0269995,2.132646,2.129501,2.141316
73,4.031969,73,4.265877,73,4.259376,73,4.282309,2.0159845,2.1329385,2.129688,2.1411545
74,4.007521,74,4.266469,74,4.259756,74,4.281913,2.0037605,2.1332345,2.129878,2.1409565
75,3.980414,75,4.267068,75,4.260141,75,4.281436,1.990207,2.133534,2.1300705,2.140718
76,3.950395,76,4.267673,76,4.260531,76,4.280869,1.9751975,2.1338365,2.1302655,2.1404345
77,3.917197,77,4.268285,77,4.260925,77,4.280203,1.9585985,2.1341425,2.1304625,2.1401015
78,3.880544,78,4.268902,78,4.261324,78,4.279427,1.940272,2.134451,2.130662,2.1397135
79,3.840157,79,4.269525,79,4.261726,79,4.27853,1.9200785,2.1347625,2.130863,2.139265
80,3.795758,80,4.270152,80,4.262132,80,4.277499,1.897879,2.135076,2.131066,2.1387495
